,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type
41,Low Fat,0.069236421,Fruits and Vegetables,116.6466,OUT010,1998,Tier 3,Grocery Store
42,Low Fat,0.178699961,Household,173.9422,OUT017,2007,Tier 2,Supermarket Type1
43,Low Fat,0.015740089,Others,144.847,OUT018,2009,Tier 3,Supermarket Type2
44,Low Fat,0.059565107,Breads,217.2166,OUT010,1998,Tier 3,Grocery Store
45,Low Fat,0.126277921,Canned,112.1886,OUT013,1987,Tier 3,Supermarket Type1
46,Low Fat,0.291322397,Dairy,55.8298,OUT010,1998,Tier 3,Grocery Store
47,Low Fat,0.053433908,Health and Hygiene,183.2608,OUT035,2004,Tier 2,Supermarket Type1
48,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Tier 2,Supermarket Type1
49,Low Fat,0.075194929,Snack Foods,124.9046,OUT046,1997,Tier 1,Supermarket Type1
50,Low Fat,0.075557965,Hard Drinks,57.0614,OUT046,1997,Tier 1,Supermarket Type1
51,Low Fat,0.122928415,Meat,106.6938,OUT013,1987,Tier 3,Supermarket Type1
52,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,Tier 2,Supermarket Type1
53,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,Tier 2,Supermarket Type1
54,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Tier 3,Supermarket Type3
55,Low Fat,0.011278673,Canned,188.8188,OUT049,1999,Tier 1,Supermarket Type1
56,Regular,0.0,Snack Foods,179.666,OUT013,1987,Tier 3,Supermarket Type1
57,Low Fat,0.106952661,Frozen Foods,38.3822,OUT013,1987,Tier 3,Supermarket Type1
58,Regular,0.129825457,Snack Foods,263.2568,OUT019,1985,Tier 1,Grocery Store
59,Regular,0.029947409,Dairy,90.1514,OUT045,2002,Tier 2,Supermarket Type1
60,Regular,0.035565457,Baking Goods,144.8444,OUT035,2004,Tier 2,Supermarket Type1
61,Regular,0.047760002,Dairy,214.9876,OUT017,2007,Tier 2,Supermarket Type1
62,Low Fat,0.015089147,Household,141.347,OUT027,1985,Tier 3,Supermarket Type3
63,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,Tier 2,Supermarket Type1
64,Low Fat,0.086632125,Frozen Foods,152.6998,OUT045,2002,Tier 2,Supermarket Type1
65,Regular,0.064306056,Starchy Foods,90.3804,OUT027,1985,Tier 3,Supermarket Type3
66,Low Fat,0.08493006,Starchy Foods,165.8158,OUT017,2007,Tier 2,Supermarket Type1
67,Low Fat,0.072066634,Household,262.5594,OUT046,1997,Tier 1,Supermarket Type1
68,Low Fat,0.041256807,Starchy Foods,181.2634,OUT013,1987,Tier 3,Supermarket Type1
69,Low Fat,0.058587558,Household,221.6456,OUT045,2002,Tier 2,Supermarket Type1
70,Low Fat,0.015711434,Household,180.0976,OUT049,1999,Tier 1,Supermarket Type1
71,Low Fat,0.032714163,Baking Goods,108.1938,OUT027,1985,Tier 3,Supermarket Type3
72,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Tier 3,Supermarket Type2
73,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Tier 1,Supermarket Type1
74,Low Fat,0.029505077,Household,256.2646,OUT045,2002,Tier 2,Supermarket Type1
75,Regular,0.045076104,Soft Drinks,173.7054,OUT045,2002,Tier 2,Supermarket Type1
76,Low Fat,0.299544153,Snack Foods,124.8704,OUT019,1985,Tier 1,Grocery Store
77,Low Fat,0.139452413,Frozen Foods,148.6392,OUT046,1997,Tier 1,Supermarket Type1
78,Low Fat,0.246178257,Hard Drinks,252.4382,OUT019,1985,Tier 1,Grocery Store
79,Low Fat,0.065128984,Dairy,145.176,OUT013,1987,Tier 3,Supermarket Type1
80,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Tier 2,Supermarket Type1
81,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Tier 3,Supermarket Type2
82,Low Fat,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Tier 1,Supermarket Type1
83,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,Tier 3,Supermarket Type1
84,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,Tier 2,Supermarket Type1
85,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Tier 2,Supermarket Type1
86,Low Fat,0.015911432,Breads,230.5668,OUT046,1997,Tier 1,Supermarket Type1
87,Regular,0.005588601,Starchy Foods,225.5062,OUT046,1997,Tier 1,Supermarket Type1
88,Low Fat,0.139510771,Canned,46.2376,OUT045,2002,Tier 2,Supermarket Type1
89,Regular,0.262504325,Dairy,242.2538,OUT010,1998,Tier 3,Grocery Store
90,Regular,0.0,Meat,165.7816,OUT045,2002,Tier 2,Supermarket Type1
91,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Tier 3,Supermarket Type3
92,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Tier 3,Supermarket Type3
93,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Tier 3,Supermarket Type2
94,Low Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,Tier 3,Supermarket Type1
95,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Tier 1,Supermarket Type1
96,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,Tier 2,Supermarket Type1
97,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Tier 3,Supermarket Type2
98,Regular,0.065917194,Baking Goods,185.724,OUT045,2002,Tier 2,Supermarket Type1
99,Low Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,Tier 3,Supermarket Type1
100,Regular,0.009908113,Meat,151.1366,OUT018,2009,Tier 3,Supermarket Type2
101,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,Tier 2,Supermarket Type1
102,Regular,0.02777326,Canned,169.279,OUT017,2007,Tier 2,Supermarket Type1
103,Regular,0.006326106,Baking Goods,122.1098,OUT046,1997,Tier 1,Supermarket Type1
104,Low Fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Tier 1,Grocery Store
105,Low Fat,0.09233359,Household,250.6066,OUT027,1985,Tier 3,Supermarket Type3
106,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Tier 1,Grocery Store
107,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Tier 1,Supermarket Type1
108,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Tier 3,Supermarket Type3
109,Low Fat,0.0,Dairy,249.775,OUT018,2009,Tier 3,Supermarket Type2
110,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,Tier 3,Grocery Store
111,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Tier 1,Supermarket Type1
112,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,Tier 3,Grocery Store
113,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Tier 3,Supermarket Type3
114,Regular,0.179043614,Meat,95.3752,OUT035,2004,Tier 2,Supermarket Type1
115,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,1985,Tier 3,Supermarket Type3
116,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Tier 1,Supermarket Type1
117,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,Tier 3,Supermarket Type1
118,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Tier 2,Supermarket Type1
119,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,Tier 2,Supermarket Type1
120,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Tier 3,Supermarket Type3
121,Low Fat,0.108641498,Household,33.0558,OUT017,2007,Tier 2,Supermarket Type1
122,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Tier 2,Supermarket Type1
123,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Tier 1,Supermarket Type1
124,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Tier 3,Supermarket Type2
125,Regular,0.0,Baking Goods,186.424,OUT027,1985,Tier 3,Supermarket Type3
126,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,Tier 2,Supermarket Type1
127,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Tier 3,Supermarket Type2
128,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Tier 3,Supermarket Type2
129,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,Tier 3,Supermarket Type1
130,Regular,0.017131453,Baking Goods,177.837,OUT018,2009,Tier 3,Supermarket Type2
131,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,Tier 3,Supermarket Type1
132,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Tier 2,Supermarket Type1
133,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,Tier 3,Grocery Store
134,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Tier 1,Supermarket Type1
135,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Tier 1,Grocery Store
136,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Tier 3,Supermarket Type2
137,Low Fat,0.130617879,Baking Goods,76.5328,OUT049,1999,Tier 1,Supermarket Type1
138,Low Fat,0.238990225,Canned,94.7094,OUT019,1985,Tier 1,Grocery Store
139,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,Tier 3,Supermarket Type1
140,Low Fat,0.0,Soft Drinks,188.3898,OUT010,1998,Tier 3,Grocery Store
141,Regular,0.168186376,Breads,36.5874,OUT046,1997,Tier 1,Supermarket Type1
142,Low Fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Tier 1,Supermarket Type1
143,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Tier 2,Supermarket Type1
144,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Tier 2,Supermarket Type1
145,Low Fat,0.050154219,Health and Hygiene,126.9336,OUT045,2002,Tier 2,Supermarket Type1
146,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Tier 2,Supermarket Type1
147,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Tier 3,Supermarket Type3
148,Low Fat,0.024086626,Household,106.0964,OUT017,2007,Tier 2,Supermarket Type1
149,Low Fat,0.013115567,Household,53.7614,OUT027,1985,Tier 3,Supermarket Type3
150,Low Fat,0.0,Snack Foods,118.9466,OUT049,1999,Tier 1,Supermarket Type1
151,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,Tier 2,Supermarket Type1
152,Low Fat,0.07986963,Household,180.466,OUT010,1998,Tier 3,Grocery Store
153,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Tier 2,Supermarket Type1
154,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Tier 3,Supermarket Type2
155,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,Tier 3,Supermarket Type1
156,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Tier 3,Supermarket Type2
157,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Tier 1,Supermarket Type1
158,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,Tier 2,Supermarket Type1
159,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Tier 1,Supermarket Type1
160,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,Tier 2,Supermarket Type1
161,Low Fat,0.091900406,Others,182.5608,OUT035,2004,Tier 2,Supermarket Type1
162,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,Tier 3,Supermarket Type1
163,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Tier 1,Supermarket Type1
164,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Tier 1,Supermarket Type1
165,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,Tier 3,Grocery Store
166,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Tier 3,Supermarket Type3
167,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Tier 1,Supermarket Type1
168,Low Fat,0.0,Baking Goods,150.4708,OUT045,2002,Tier 2,Supermarket Type1
169,Regular,0.053858378,Canned,186.924,OUT010,1998,Tier 3,Grocery Store
170,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,Tier 2,Supermarket Type1
171,Low Fat,0.073080167,Household,161.492,OUT017,2007,Tier 2,Supermarket Type1
172,Low Fat,0.184602443,Household,106.5306,OUT010,1998,Tier 3,Grocery Store
173,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,Tier 3,Grocery Store
174,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,Tier 2,Supermarket Type1
175,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Tier 3,Supermarket Type2
176,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Tier 3,Supermarket Type3
177,Low Fat,0.083393481,Meat,180.6292,OUT027,1985,Tier 3,Supermarket Type3
178,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Tier 3,Supermarket Type3
179,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Tier 3,Supermarket Type3
180,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Tier 2,Supermarket Type1
181,Low Fat,0.117808305,Canned,198.5768,OUT018,2009,Tier 3,Supermarket Type2
182,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Tier 2,Supermarket Type1
183,Low Fat,0.093540749,Household,55.4956,OUT017,2007,Tier 2,Supermarket Type1
184,Low Fat,0.087105823,Health and Hygiene,108.228,OUT010,1998,Tier 3,Grocery Store
185,Low Fat,0.0,Household,110.9544,OUT049,1999,Tier 1,Supermarket Type1
186,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Tier 2,Supermarket Type1
187,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,Tier 3,Supermarket Type1
188,Low Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Tier 1,Supermarket Type1
189,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Tier 2,Supermarket Type1
190,Low Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Tier 1,Supermarket Type1
191,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Tier 3,Supermarket Type2
192,Low Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Tier 1,Supermarket Type1
193,Regular,0.054001526,Canned,227.8352,OUT019,1985,Tier 1,Grocery Store
194,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Tier 2,Supermarket Type1
195,Low Fat,0.019774239,Household,154.5972,OUT027,1985,Tier 3,Supermarket Type3
196,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Tier 1,Grocery Store
197,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,Tier 2,Supermarket Type1
198,Low Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Tier 1,Supermarket Type1
199,Low Fat,0.070354806,Frozen Foods,53.9298,OUT019,1985,Tier 1,Grocery Store
200,Regular,0.047028483,Snack Foods,118.3782,OUT027,1985,Tier 3,Supermarket Type3
201,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,Tier 2,Supermarket Type1
202,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,Tier 2,Supermarket Type1
203,Low Fat,0.073341257,Canned,155.7972,OUT045,2002,Tier 2,Supermarket Type1
204,Low Fat,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Tier 3,Supermarket Type2
205,Low Fat,0.039562497,Meat,118.1808,OUT046,1997,Tier 1,Supermarket Type1
206,Low Fat,0.038745948,Fruits and Vegetables,245.0144,OUT049,1999,Tier 1,Supermarket Type1
207,Low Fat,0.015193653,Frozen Foods,82.825,OUT017,2007,Tier 2,Supermarket Type1
208,Regular,0.027075481,Meat,195.611,OUT035,2004,Tier 2,Supermarket Type1
209,Low Fat,0.052068722,Snack Foods,117.0124,OUT046,1997,Tier 1,Supermarket Type1
210,Regular,0.114010306,Canned,112.2202,OUT027,1985,Tier 3,Supermarket Type3
211,Low Fat,0.111641021,Household,38.8848,OUT019,1985,Tier 1,Grocery Store
212,Regular,0.008771522,Meat,205.798,OUT018,2009,Tier 3,Supermarket Type2
213,Regular,0.103304968,Canned,92.612,OUT017,2007,Tier 2,Supermarket Type1
214,Low Fat,0.028919203,Snack Foods,240.9222,OUT013,1987,Tier 3,Supermarket Type1
215,Low Fat,0.034136703,Others,130.0284,OUT017,2007,Tier 2,Supermarket Type1
216,Regular,0.045393469,Meat,102.2674,OUT019,1985,Tier 1,Grocery Store
217,Regular,0.047199898,Frozen Foods,244.9144,OUT027,1985,Tier 3,Supermarket Type3
218,Low Fat,0.07319282,Canned,154.2972,OUT046,1997,Tier 1,Supermarket Type1
219,Low Fat,0.011287929,Household,238.9248,OUT046,1997,Tier 1,Supermarket Type1
220,Low Fat,0.036628533,Hard Drinks,145.6128,OUT019,1985,Tier 1,Grocery Store
221,Regular,0.105057952,Frozen Foods,141.1812,OUT013,1987,Tier 3,Supermarket Type1
222,Regular,0.0,Snack Foods,169.2132,OUT046,1997,Tier 1,Supermarket Type1
223,Low Fat,0.017741644,Canned,178.3686,OUT035,2004,Tier 2,Supermarket Type1
224,Low Fat,0.039225553,Household,116.2176,OUT045,2002,Tier 2,Supermarket Type1
225,Low Fat,0.141766029,Starchy Foods,87.4172,OUT035,2004,Tier 2,Supermarket Type1
226,Regular,0.080236064,Breads,226.4036,OUT018,2009,Tier 3,Supermarket Type2
227,Low Fat,0.082332074,Health and Hygiene,160.392,OUT046,1997,Tier 1,Supermarket Type1
228,Low Fat,0.136085739,Snack Foods,259.8962,OUT019,1985,Tier 1,Grocery Store
229,Low Fat,0.008885672,Frozen Foods,96.9384,OUT017,2007,Tier 2,Supermarket Type1
230,Low Fat,0.0,Snack Foods,255.2356,OUT013,1987,Tier 3,Supermarket Type1
231,Low Fat,0.141355941,Starchy Foods,168.5158,OUT010,1998,Tier 3,Grocery Store
232,Low Fat,0.121227447,Canned,95.2778,OUT035,2004,Tier 2,Supermarket Type1
233,Regular,0.005975976,Snack Foods,100.8358,OUT045,2002,Tier 2,Supermarket Type1
234,Regular,0.011425458,Snack Foods,73.6038,OUT046,1997,Tier 1,Supermarket Type1
235,Regular,0.043961689,Breads,109.157,OUT049,1999,Tier 1,Supermarket Type1
236,Low Fat,0.01949589,Health and Hygiene,127.8994,OUT017,2007,Tier 2,Supermarket Type1
237,Low Fat,0.029523375,Household,117.215,OUT046,1997,Tier 1,Supermarket Type1
238,Regular,0.062751586,Frozen Foods,244.2486,OUT019,1985,Tier 1,Grocery Store
239,Regular,0.0,Starchy Foods,173.0738,OUT017,2007,Tier 2,Supermarket Type1
240,Low Fat,0.059175953,Fruits and Vegetables,37.8506,OUT010,1998,Tier 3,Grocery Store
241,Low Fat,0.009831566,Others,211.156,OUT017,2007,Tier 2,Supermarket Type1
242,Regular,0.216762584,Snack Foods,142.2838,OUT010,1998,Tier 3,Grocery Store
243,Low Fat,0.057254675,Baking Goods,104.0622,OUT017,2007,Tier 2,Supermarket Type1
244,Regular,0.0,Snack Foods,101.0358,OUT010,1998,Tier 3,Grocery Store
245,Low Fat,0.041598912,Fruits and Vegetables,118.0466,OUT017,2007,Tier 2,Supermarket Type1
246,Low Fat,0.024206741,Dairy,47.0718,OUT013,1987,Tier 3,Supermarket Type1
247,Low Fat,0.063862271,Household,38.1848,OUT049,1999,Tier 1,Supermarket Type1
248,Regular,0.073484791,Frozen Foods,63.6194,OUT010,1998,Tier 3,Grocery Store
249,Regular,0.125983278,Snack Foods,264.691,OUT017,2007,Tier 2,Supermarket Type1
250,Regular,0.058161092,Fruits and Vegetables,239.4564,OUT045,2002,Tier 2,Supermarket Type1
251,Low Fat,0.1092139,Snack Foods,175.037,OUT010,1998,Tier 3,Grocery Store
252,Regular,0.138195491,Frozen Foods,83.1276,OUT019,1985,Tier 1,Grocery Store
253,Low Fat,0.007595816,Snack Foods,104.4622,OUT017,2007,Tier 2,Supermarket Type1
254,Low Fat,0.11956313,Snack Foods,227.2694,OUT017,2007,Tier 2,Supermarket Type1
255,Low Fat,0.018020588,Health and Hygiene,94.4094,OUT035,2004,Tier 2,Supermarket Type1
256,Low Fat,0.067442541,Soft Drinks,244.7486,OUT035,2004,Tier 2,Supermarket Type1
257,Regular,0.008239804,Dairy,152.2708,OUT027,1985,Tier 3,Supermarket Type3
258,Low Fat,0.030127406,Canned,74.567,OUT046,1997,Tier 1,Supermarket Type1
259,Regular,0.016014343,Breads,44.0402,OUT013,1987,Tier 3,Supermarket Type1
260,Low Fat,0.041524729,Starchy Foods,181.7634,OUT017,2007,Tier 2,Supermarket Type1
261,Low Fat,0.055926872,Household,141.4496,OUT049,1999,Tier 1,Supermarket Type1
262,Regular,0.097597084,Snack Foods,158.5262,OUT018,2009,Tier 3,Supermarket Type2
263,Low Fat,0.177107232,Dairy,157.5288,OUT027,1985,Tier 3,Supermarket Type3
264,Regular,0.0,Canned,186.4924,OUT049,1999,Tier 1,Supermarket Type1
265,Low Fat,0.019506654,Household,169.5474,OUT046,1997,Tier 1,Supermarket Type1
266,Low Fat,0.022936556,Health and Hygiene,177.6686,OUT018,2009,Tier 3,Supermarket Type2
267,Low Fat,0.02610006,Household,182.8976,OUT017,2007,Tier 2,Supermarket Type1
268,Low Fat,0.103974431,Snack Foods,112.1544,OUT049,1999,Tier 1,Supermarket Type1
269,Regular,0.086360962,Snack Foods,153.7972,OUT027,1985,Tier 3,Supermarket Type3
270,Low Fat,0.011298801,Snack Foods,213.256,OUT017,2007,Tier 2,Supermarket Type1
271,Low Fat,0.055541153,Household,115.6518,OUT045,2002,Tier 2,Supermarket Type1
272,Low Fat,0.088720803,Health and Hygiene,144.4102,OUT027,1985,Tier 3,Supermarket Type3
273,Low Fat,0.024866609,Household,148.3392,OUT013,1987,Tier 3,Supermarket Type1
274,Low Fat,0.064129493,Hard Drinks,45.906,OUT035,2004,Tier 2,Supermarket Type1
275,Low Fat,0.100213917,Fruits and Vegetables,79.0328,OUT035,2004,Tier 2,Supermarket Type1
276,Low Fat,0.155621254,Snack Foods,178.237,OUT049,1999,Tier 1,Supermarket Type1
277,Regular,0.161832494,Fruits and Vegetables,65.7168,OUT045,2002,Tier 2,Supermarket Type1
278,Regular,0.170283492,Canned,115.1834,OUT046,1997,Tier 1,Supermarket Type1
279,Regular,0.012313256,Snack Foods,132.8284,OUT018,2009,Tier 3,Supermarket Type2
280,Low Fat,0.0,Dairy,94.812,OUT027,1985,Tier 3,Supermarket Type3
281,Low Fat,0.005689466,Baking Goods,186.6924,OUT018,2009,Tier 3,Supermarket Type2
282,Low Fat,0.052140695,Household,153.4024,OUT017,2007,Tier 2,Supermarket Type1
283,Regular,0.050579228,Canned,151.3024,OUT049,1999,Tier 1,Supermarket Type1
284,Regular,0.04904165,Frozen Foods,245.5144,OUT027,1985,Tier 3,Supermarket Type3
285,Low Fat,0.034806679,Dairy,250.175,OUT049,1999,Tier 1,Supermarket Type1
286,Regular,0.095395258,Breads,131.131,OUT019,1985,Tier 1,Grocery Store
287,Low Fat,0.093530571,Fruits and Vegetables,90.4146,OUT049,1999,Tier 1,Supermarket Type1
288,Regular,0.061124626,Soft Drinks,56.4614,OUT013,1987,Tier 3,Supermarket Type1
289,Regular,0.0,Snack Foods,54.864,OUT046,1997,Tier 1,Supermarket Type1
290,Low Fat,0.121624114,Snack Foods,42.2428,OUT013,1987,Tier 3,Supermarket Type1
291,Low Fat,0.081719458,Soft Drinks,118.444,OUT013,1987,Tier 3,Supermarket Type1
292,Low Fat,0.01336643,Others,105.228,OUT046,1997,Tier 1,Supermarket Type1
